time,label,ACCEL_X,ACCEL_Y,ACCEL_Z,BREATH,DIST,FSR0,FSR1,FSR2,FSR3,HEART,PIR,SW420,fsr_mean,fsr_std,fsr_max,fsr_min,fsr_range,accel_mag,fsr_mean_roll_std,accel_mag_roll_std
2026-09-05 17:50:00.895000+09:00,safe,1288.0,-308.0,18016.0,22.0,60.928,886.0,857.0,841.0,849.0,0.0,0.0,0.0,858.25,19.619293225462194,886.0,841.0,45.0,18064.608049996546,0.0,0.0
2026-09-05 17:50:01.912000+09:00,safe,1304.0,-268.0,18128.0,22.0,69.173,925.0,876.0,885.0,923.0,0.0,0.0,0.0,902.25,25.395209522007622,925.0,876.0,49.0,18176.81556268864,31.11269837220809,79.34269312465369
2026-09-05 17:50:02.889000+09:00,safe,1368.0,-308.0,18132.0,22.0,68.765,877.0,873.0,844.0,901.0,0.0,0.0,0.0,873.75,23.371991785040485,901.0,844.0,57.0,18186.140657104796,22.31778065429745,67.63586065707952
2026-09-05 17:50:03.889000+09:00,safe,1484.0,-368.0,17960.0,22.0,70.601,757.0,729.0,735.0,745.0,65.0,0.0,0.0,741.5,12.26104943849968,757.0,729.0,28.0,18024.962690668737,70.68102497606178,80.65205308521877
2026-09-05 17:50:04.889000+09:00,safe,1408.0,-208.0,18096.0,22.0,69.326,940.0,863.0,893.0,892.0,65.0,1.0,0.0,897.0,31.864295588218067,940.0,863.0,77.0,18151.885411714124,65.6504474470662,71.96481544917074
2026-09-05 17:50:05.888000+09:00,safe,1264.0,-332.0,18160.0,22.0,68.612,904.0,907.0,845.0,907.0,65.0,0.0,0.0,890.75,30.532769281544052,907.0,845.0,62.0,18206.9635030117,67.68571673551224,72.29428795722559
2026-09-05 17:50:06.922000+09:00,safe,1356.0,-244.0,17868.0,22.0,70.397,877.0,831.0,855.0,883.0,65.0,0.0,0.0,861.5,23.629078131263043,883.0,831.0,52.0,17921.0405947869,63.82804046812029,121.64943538057678
2026-09-05 17:50:07.890000+09:00,safe,1288.0,-336.0,17912.0,23.0,70.499,906.0,915.0,871.0,905.0,65.0,0.0,0.0,899.25,19.36276495407272,915.0,871.0,44.0,17961.39148284453,66.85735748591924,122.550266538028
2026-09-05 17:50:08.889000+09:00,safe,1352.0,-160.0,18196.0,23.0,59.364,939.0,856.0,885.0,911.0,65.0,0.0,0.0,897.75,35.50938842991621,939.0,856.0,83.0,18246.860551886726,15.847909956836636,147.40418394115605
2026-09-05 17:50:09.898000+09:00,safe,1272.0,-300.0,18064.0,22.0,130.577,749.0,749.0,727.0,775.0,65.0,0.0,0.0,750.0,19.629909152447276,775.0,727.0,48.0,18111.214205568882,63.271883566083304,144.76004952154526
2026-09-05 17:50:10.893000+09:00,safe,1364.0,-260.0,18060.0,22.0,62.373,932.0,872.0,879.0,865.0,65.0,0.0,0.0,887.0,30.539591789456953,932.0,865.0,67.0,18113.30163167389,62.83475352064335,131.18223048140766
2026-09-05 17:50:11.888000+09:00,safe,1376.0,-288.0,17936.0,22.0,69.479,923.0,887.0,867.0,885.0,66.0,0.0,0.0,890.5,23.459184413217212,923.0,867.0,56.0,17991.00931020825,64.42985526912196,113.79809028528065
2026-09-05 17:50:12.910000+09:00,safe,1416.0,-328.0,18112.0,22.0,67.966,911.0,873.0,839.0,861.0,66.0,0.0,0.0,871.0,30.155154341063046,911.0,839.0,72.0,18170.227956742867,61.85163700339711,93.76083074230729
